tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 318, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5205406, b_ADM1_PT: Goiás, b_ADM2_PT: Ceres, au_area_km2: 214.27

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 319, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5205802, b_ADM1_PT: Goiás, b_ADM2_PT: Corumbá de Goiás, au_area_km2: 1062.33

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 320, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5205513, b_ADM1_PT: Goiás, b_ADM2_PT: Cocalzinho de Goiás, au_area_km2: 1789.01

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 321, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5212055, b_ADM1_PT: Goiás, b_ADM2_PT: Jesúpolis, au_area_km2: 122.3

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 322, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5210562, b_ADM1_PT: Goiás, b_ADM2_PT: Itaguari, au_area_km2: 147.14

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 323, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5210604, b_ADM1_PT: Goiás, b_ADM2_PT: Itaguaru, au_area_km2: 239.63

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 324, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5211800, b_ADM1_PT: Goiás, b_ADM2_PT: Jaraguá, au_area_km2: 1848.8

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 325, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5217302, b_ADM1_PT: Goiás, b_ADM2_PT: Pirenópolis, au_area_km2: 2205.32

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 326, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5219902, b_ADM1_PT: Goiás, b_ADM2_PT: São Francisco de Goiás, au_area_km2: 415.87

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 327, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5221007, b_ADM1_PT: Goiás, b_ADM2_PT: Taquaral de Goiás, au_area_km2: 204.2

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 328, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5221700, b_ADM1_PT: Goiás, b_ADM2_PT: Uruana, au_area_km2: 522.85

tile_zoom: 3, tile_x: 2, tile_y: 4, fid: 329, b_ADM1_PCODE: BR52, b_ADM2_PCODE: BR5218706, b_ADM1_PT: Goiás, b_ADM2_PT: Rianápolis, au_area_km2: 159.04
